type;location_lat;location_lon;city_name_en;region_name_en;developer_name;max_area;max_bed_room;max_bathroom;max_price;min_area;project_name;project_type;publish_date;type_1;unit_types_0
marketplaces;21.637815;40.390686;AT TAIF;Makkah;;508.366741;1;1;833297;400;مشروع  واحة الميقات - الطائف;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.840814;45.982396;HAFAR AL BATIN;Eastern Province;;937;1;1;989327;380;مخطط أم قليب-54/ح/1410;lands_moh_land;30/06/22;marketplaces;land
marketplaces;28.036816;42.318835;BAQ'A;Ha'il;;500;1;1;193439;380;مشروع القليبة - حائل;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.714253;42.627986;BAQ'A;Ha'il;;1147;1;3;298340;892;مشروع الجثياثه - حائل;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.872334;40.347383;ASH SHAMLI;Ha'il;;900;1;2;527624;400;مشروع لؤلؤة الشملي - الشملي;lands_moh_land;27/08/21;marketplaces;land
marketplaces;19.519431;43.599588;TATILITH;'Asir;;941.704;1;1;791295;561.91;مشروع تثليث - عسير;lands_moh_land;27/08/21;marketplaces;land
marketplaces;23.232996;45.552931;AR RAYN;Riyadh;;895.54;1;2;679194;394.89;مخطط العمق - الرين;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.309725;44.236389;ASH SHIMASIYAH;Qassim;;672;1;2;697436;435;مشروع اسكان الشماسية;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.307711;44.917194;AZ ZULFI;Riyadh;;525.645;1;2;972865;467.443;مشروع اسكان الزلفي;lands_moh_land;27/08/21;marketplaces;land
marketplaces;25.224641;45.862198;THADIQ;Riyadh;;500;1;3;880968;500;مشروع إسكان ثادق;lands_moh_land;27/08/21;marketplaces;land
marketplaces;26.492416;43.619825;UYUN AL JAWA';Qassim;;550;1;2;205462;500;مشروع إسكان عيون الجواء;lands_moh_land;27/08/21;marketplaces;land
marketplaces;25.248548;45.219565;SHAQRA';Riyadh;;509.69;1;2;898618;478.61;مشروع إسكان شقراء;lands_moh_land;27/08/21;marketplaces;land
marketplaces;24.896709;46.645818;AR RIYADH;Riyadh;شركة تلال العقارية;400;3;1;1894504;250;بيوت تلال - الرياض;offplan_moh_land;23/06/22;marketplaces;villa
marketplaces;25.871382;49.603958;BUQAYQ;Eastern Province;;760.35;1;1;373699;499.992;مشروع زهرة الدغيمية;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.432444;42.476111;ASH SHINAN;Ha'il;;1155;1;2;554146;892;مشروع الأرشاوية - الشنان;lands_moh_land;27/08/21;marketplaces;land
marketplaces;27.9815;42.001083;BAQ'A;Ha'il;;1120;1;2;863954;892;مخطط المندسة;lands_moh_land;27/08/21;marketplaces;land
marketplaces;25.970639;49.551722;BUQAYQ;Eastern Province;;900;1;2;266016;570.5;هجرة الثمامة;lands_moh_land;27/08/21;marketplaces;land
